Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
PEAK,Healthpeak,Real Estate,Health Care REITs,2008-03-31,
HSIC,Henry Schein,Health Care,Health Care Distributors,2015-03-17,
HSY,Hershey's,Consumer Staples,Packaged Foods & Meats,1957-03-04,
HES,Hess Corporation,Energy,Integrated Oil & Gas,1984-05-31,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2015-11-02,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2017-06-19,
HOLX,Hologic,Health Care,Health Care Equipment,2016-03-30,
HD,Home Depot (The),Consumer Discretionary,Home Improvement Retail,1988-03-31,
HON,Honeywell,Industrials,Industrial Conglomerates,1957-03-04,
HRL,Hormel Foods,Consumer Staples,Packaged Foods & Meats,2009-03-04,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007-03-20,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1957-03-04,
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974-12-31,
HUM,Humana,Health Care,Managed Health Care,,
HBAN,Huntington Bancshares,Financials,Regional Banks,1997-08-28,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018-01-03,
IBM,IBM,Information Technology,IT Consulting & Other Services,1957-03-04,
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,2019-08-09,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017-01-05,
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,1986-02-28,
ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015-11-19,
INCY,Incyte,Health Care,Biotechnology,2017-02-28,
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,2020-03-03,
PODD,Insulet,Health Care,Health Care Equipment,2023-03-15,
INTC,Intel,Information Technology,Semiconductors,1976-12-31,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007-09-26,
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976-03-31,
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1957-03-04,
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,1992-10-01,
INTU,Intuit,Information Technology,Application Software,2000-12-05,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008-06-02,
IVZ,Invesco,Financials,Asset Management & Custody Banks,2008-08-21,
INVH,Invitation Homes,Real Estate,Residential REITs,2022-09-19,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017-08-29,
IRM,Iron Mountain,Real Estate,Other Specialized REITs,2009-01-06,
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,2015-07-01,
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,2018-11-13,
J,Jacobs Solutions,Industrials,Construction & Engineering,2007-10-26,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973-06-30,
JCI,Johnson Controls,Industrials,Building Products,2010-08-27,
JPM,JPMorgan Chase,Financials,Diversified Banks,1975-06-30,
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006-06-02,
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989-09-11,
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2022-06-21,
KEY,KeyCorp,Financials,Regional Banks,1994-03-01,
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,2018-11-06,
KMB,Kimberly-Clark,Consumer Staples,Household Products,1957-03-04,
KIM,Kimco Realty,Real Estate,Retail REITs,2006-04-04,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,2012-05-25,
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,1997-09-30,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,2015-07-06,
KR,Kroger,Consumer Staples,Food Retail,1957-03-04,
LHX,L3Harris,Industrials,Aerospace & Defense,2008-09-22,
LH,LabCorp,Health Care,Health Care Services,2004-11-01,
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,2012-06-29,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,2018-12-03,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,2019-10-03,
LDOS,Leidos,Industrials,Diversified Support Services,2019-08-09,
LEN,Lennar,Consumer Discretionary,Homebuilding,2005-10-04,
LNC,Lincoln Financial,Financials,Multi-line Insurance,1976-06-30,
LIN,Linde plc,Materials,Industrial Gases,1992-07-01,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,2019-12-23,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,2016-05-23,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,1957-03-04,
L,Loews Corporation,Financials,Multi-line Insurance,1995-05-31,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1984-02-29,
LYB,LyondellBasell,Materials,Specialty Chemicals,2012-09-05,
MTB,M&T Bank,Financials,Regional Banks,2004-02-23,
MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,1957-03-04,
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,2011-07-01,
MKTX,MarketAxess,Financials,Financial Exchanges & Data,2019-07-01,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-05-29,
MMC,Marsh McLennan,Financials,Insurance Brokers,1987-08-31,
MLM,Martin Marietta Materials,Materials,Construction Materials,2014-07-02,
MAS,Masco,Industrials,Building Products,1981-06-30,
MA,Mastercard,Financials,Transaction & Payment Processing Services,2008-07-18,
MTCH,Match Group,Communication Services,Interactive Media & Services,2021-09-20,
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,2003-03-20,
MCD,McDonald's,Consumer Discretionary,Restaurants,1970-06-30,
MCK,McKesson,Health Care,Health Care Distributors,1999-01-13,
MDT,Medtronic,Health Care,Health Care Equipment,1986-10-31,
MRK,Merck & Co.,Health Care,Pharmaceuticals,1957-03-04,
META,Meta Platforms,Communication Services,Interactive Media & Services,2013-12-23,
MET,MetLife,Financials,Life & Health Insurance,2000-12-11,
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,2016-09-06,
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,2017-07-26,
MCHP,Microchip Technology,Information Technology,Semiconductors,2007-09-07,
MU,Micron Technology,Information Technology,Semiconductors,1994-09-27,
MSFT,Microsoft,Information Technology,Systems Software,1994-06-01,
MAA,Mid-America Apartment Communities,Real Estate,Residential REITs,2016-12-02,
MRNA,Moderna,Health Care,Biotechnology,2021-07-21,
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,2013-12-23,
MOH,Molina Healthcare,Health Care,Managed Health Care,2022-03-02,
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,1976-06-30,
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,2012-10-02,
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,2021-02-12,
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,2012-06-28,
